model,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
MLP,0.8083,0.0081,0.8109,0.0076,0.8099,0.0087,0.808,0.0081
DNN,0.8192,0.0126,0.8255,0.0103,0.8211,0.0118,0.8184,0.0131
Attention,0.8571,0.0054,0.8575,0.0059,0.859,0.0053,0.857,0.0055
Hybrid,0.8707,0.0094,0.8711,0.0088,0.8722,0.0091,0.8705,0.0092
Decision Fusion,0.8095,0.0055,0.8127,0.0041,0.8114,0.0053,0.8098,0.0054
