model,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
MLP,0.6495,0.0041,0.6613,0.0106,0.6536,0.005,0.6492,0.0038
DNN,0.5821,0.0041,0.6183,0.0122,0.5893,0.0021,0.5764,0.0051
Attention,0.7077,0.0078,0.7149,0.0057,0.7118,0.0074,0.708,0.008
Attention+DNN,0.6956,0.0063,0.7053,0.0048,0.7003,0.0061,0.6953,0.0067
Decision Fusion,0.6522,0.0092,0.665,0.0066,0.6539,0.0094,0.6511,0.0101
