iteration,best_accuracy,lr,dropout,hidden_dim,batch_size,weight_decay
1,0.9303,0.000459,0.223288,128,32,0.002723
2,0.9514,0.0005,0.2,128,32,0.002477
3,0.9514,0.0005,0.2,128,32,0.002477
4,0.9538,0.0005,0.2,128,32,0.002759
5,0.9538,0.0005,0.2,128,32,0.002759
