iteration,best_accuracy,lr,dropout,hidden_dim,batch_size,weight_decay
1,0.8208,0.0005,0.403993,128,64,0.009152
2,0.8427,0.0005,0.421417,128,32,0.009816
3,0.8607,0.0005,0.409178,128,32,0.009802
4,0.8841,0.0005,0.361628,128,32,0.007084
5,0.8791,0.0005,0.358658,128,32,0.007813
