generation,best_accuracy,lr,dropout,hidden_dim,batch_size,weight_decay
1,0.8667,0.000395,0.259902,128,64,0.00056
2,0.8671,0.000395,0.259902,128,64,0.00056
3,0.8641,0.000395,0.259902,128,64,0.00056
4,0.8809,0.000416,0.259902,128,64,0.00056
5,0.8721,0.000416,0.259902,128,64,0.00056
