iteration,best_accuracy,lr,dropout,hidden_dim,batch_size,weight_decay
1,0.9411,0.000487,0.2,128,32,0.002168
2,0.9477,0.000487,0.2,128,32,0.002168
3,0.9477,0.000487,0.2,128,32,0.002168
4,0.9477,0.000487,0.2,128,32,0.002168
5,0.9507,0.000487,0.2,128,32,0.001711
