model,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
MLP,0.7488,0.0029,0.7536,0.0051,0.749,0.0023,0.7488,0.0027
DNN,0.8808,0.0053,0.8821,0.0053,0.8807,0.0052,0.8805,0.0051
Attention,0.6618,0.007,0.6651,0.0074,0.6616,0.0074,0.6619,0.0074
Hybrid,0.9075,0.0033,0.9075,0.0033,0.9071,0.0031,0.9072,0.0032
Decision Fusion,0.4813,0.0043,0.4854,0.0054,0.4789,0.0041,0.4779,0.0042
