Model,Accuracy,Precision,Recall,F1-score
MLP,0.7603195739014648,0.766736182879496,0.7603195739014648,0.7596302295766342
DNN,0.903462050599201,0.9048766608998065,0.903462050599201,0.9033331505467044
Attention,0.6825565912117177,0.6839251071468859,0.6825565912117177,0.682401633301202
Hybrid,0.9283621837549934,0.928646266825852,0.9283621837549934,0.9284146391182143
Decision Fusion,0.5054593874833555,0.5106726298027421,0.5054593874833555,0.5044777582767452
