model,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
MLP,0.3353,0.028,0.3466,0.0276,0.334,0.0291,0.3283,0.0281
DNN,0.3396,0.0444,0.3487,0.0423,0.3398,0.0431,0.3328,0.0453
Attention,0.3342,0.0126,0.3386,0.016,0.3355,0.0135,0.3326,0.0115
Hybrid,0.3203,0.0152,0.3272,0.0206,0.3195,0.0141,0.3166,0.0143
Decision Fusion,0.3782,0.0259,0.3827,0.0244,0.3785,0.0265,0.3779,0.027
