iteration,best_accuracy,lr,dropout,hidden_dim,batch_size,weight_decay
1,0.9822,0.000402,0.347343,256,32,1e-06
2,0.988,0.0005,0.316695,256,32,0.000571
3,0.9902,0.000495,0.319824,256,32,0.000766
4,0.9871,0.0005,0.282416,256,64,0.001
5,0.9931,0.0005,0.24257,256,32,0.000815
6,0.9923,0.0005,0.225228,256,32,0.000704
7,0.9923,0.0005,0.27191,256,32,0.000837
8,0.9926,0.0005,0.253034,256,32,0.000828
9,0.993,0.0005,0.259156,256,32,0.000766
10,0.9932,0.0005,0.265059,256,32,0.000757
