iteration,best_accuracy,lr,dropout,hidden_dim,batch_size,weight_decay
1,0.9879,0.000338,0.22475,256,32,0.000263
2,0.9916,0.000437,0.2,256,32,0.000259
3,0.9938,0.0005,0.2,256,32,6.2e-05
4,0.994,0.0005,0.2,256,32,0.000201
5,0.994,0.0005,0.2,256,32,0.000201
6,0.994,0.0005,0.2,256,32,0.000201
7,0.9946,0.0005,0.2,256,32,0.000273
8,0.9946,0.0005,0.2,256,32,0.000273
9,0.9946,0.0005,0.2,256,32,0.000273
10,0.9946,0.0005,0.2,256,32,0.000266
