run_id,fold,epoch,timestamp,loss,accuracy,val_loss,val_accuracy,lr
20260423_131614,1,1,2026-04-23T13:44:32.870470,1.3850924968719482,0.2708207666873932,1.3879202604293823,0.27579963207244873,
20260423_131614,1,2,2026-04-23T13:44:32.872754,1.377245306968689,0.2838965952396393,1.3921678066253662,0.25662174820899963,
20260423_131614,1,3,2026-04-23T13:44:32.872754,1.3713059425354004,0.2943572700023651,1.406403660774231,0.2509220242500305,
20260423_131614,1,4,2026-04-23T13:44:32.872754,1.3630454540252686,0.3049185276031494,1.4304826259613037,0.25474417209625244,
20260423_131614,1,5,2026-04-23T13:44:32.872754,1.3460731506347656,0.3260745704174042,1.4510823488235474,0.2589016258716583,
20260423_131614,1,6,2026-04-23T13:44:32.872754,1.3347599506378174,0.33688727021217346,1.469478964805603,0.2584322392940521,
20260423_131614,2,1,2026-04-23T14:17:49.367599,1.3857380151748657,0.26942935585975647,1.383758783340454,0.27680546045303345,
20260423_131614,2,2,2026-04-23T14:17:49.370721,1.378508448600769,0.2845839262008667,1.383516550064087,0.27875009179115295,
20260423_131614,2,3,2026-04-23T14:17:49.370721,1.3694827556610107,0.30175015330314636,1.385147213935852,0.27915242314338684,
20260423_131614,2,4,2026-04-23T14:17:49.370721,1.359499454498291,0.3208945095539093,1.3912092447280884,0.2807617485523224,
20260423_131614,2,5,2026-04-23T14:17:49.370721,1.3486462831497192,0.3342553377151489,1.3930025100708008,0.27928653359413147,
20260423_131614,2,6,2026-04-23T14:17:49.370721,1.3367542028427124,0.3440454602241516,1.4114265441894531,0.2747267484664917,
20260423_131614,2,7,2026-04-23T14:17:49.370721,1.3261237144470215,0.3553946316242218,1.4054137468338013,0.27311742305755615,
20260423_131614,2,8,2026-04-23T14:17:49.370721,1.303196907043457,0.37209147214889526,1.430993914604187,0.2690940797328949,
20260423_131614,2,9,2026-04-23T14:17:49.370721,1.2887786626815796,0.3832562267780304,1.4475575685501099,0.269965797662735,
20260423_131614,3,1,2026-04-23T14:48:52.066285,1.3847309350967407,0.27360355854034424,1.384204387664795,0.27499496936798096,
20260423_131614,3,2,2026-04-23T14:48:52.067414,1.379947304725647,0.2835445702075958,1.3858048915863037,0.27781131863594055,
20260423_131614,3,3,2026-04-23T14:48:52.067414,1.3753175735473633,0.29668745398521423,1.3905705213546753,0.2786159813404083,
20260423_131614,3,4,2026-04-23T14:48:52.067414,1.3659247159957886,0.31209346652030945,1.3960987329483032,0.2781465947628021,
20260423_131614,3,5,2026-04-23T14:48:52.067414,1.3561886548995972,0.32773420214653015,1.4086767435073853,0.27170923352241516,
20260423_131614,3,6,2026-04-23T14:48:52.067414,1.3450719118118286,0.3398209512233734,1.4286772012710571,0.2743914723396301,
20260423_131614,3,7,2026-04-23T14:48:52.067414,1.3257509469985962,0.35316503047943115,1.4510847330093384,0.2764701843261719,
20260423_131614,3,8,2026-04-23T14:48:52.067414,1.3147414922714233,0.363240122795105,1.470255970954895,0.27640312910079956,
20260423_131614,4,1,2026-04-23T15:17:03.567628,1.38677978515625,0.2720780670642853,1.4060264825820923,0.26144975423812866,
20260423_131614,4,2,2026-04-23T15:17:03.567628,1.3819549083709717,0.2820190489292145,1.391028642654419,0.27720779180526733,
20260423_131614,4,3,2026-04-23T15:17:03.567628,1.377284288406372,0.29331791400909424,1.402586817741394,0.2704351842403412,
20260423_131614,4,4,2026-04-23T15:17:03.567628,1.3678767681121826,0.3084389567375183,1.391917109489441,0.26520484685897827,
20260423_131614,4,5,2026-04-23T15:17:03.567628,1.3574591875076294,0.32258766889572144,1.4976102113723755,0.2526654601097107,
20260423_131614,4,6,2026-04-23T15:17:03.567628,1.3388327360153198,0.3423187732696533,1.4697809219360352,0.25849929451942444,
20260423_131614,4,7,2026-04-23T15:17:03.567628,1.3259152173995972,0.3513545095920563,1.467852234840393,0.25521355867385864,
20260423_131614,5,1,2026-04-23T15:45:48.517196,1.384745478630066,0.2718433439731598,1.383697271347046,0.27546435594558716,
20260423_131614,5,2,2026-04-23T15:45:48.517196,1.3764822483062744,0.2872326076030731,1.3870093822479248,0.28015825152397156,
20260423_131614,5,3,2026-04-23T15:45:48.517196,1.3674365282058716,0.30693018436431885,1.3878217935562134,0.28444981575012207,
20260423_131614,5,4,2026-04-23T15:45:48.517196,1.355234146118164,0.32506874203681946,1.3948322534561157,0.2742573618888855,
20260423_131614,5,5,2026-04-23T15:45:48.517196,1.3420097827911377,0.33790987730026245,1.4198715686798096,0.2743244171142578,
20260423_131614,5,6,2026-04-23T15:45:48.517196,1.327967882156372,0.3481358587741852,1.4294142723083496,0.2709045708179474,
20260423_131614,5,7,2026-04-23T15:45:48.517196,1.3013036251068115,0.3663749694824219,1.51378333568573,0.26989874243736267,
20260423_131614,5,8,2026-04-23T15:45:48.517196,1.2873506546020508,0.37663447856903076,1.5975699424743652,0.26641184091567993,
