method,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
Baseline,0.461,0.0156,0.4708,0.0205,0.461,0.0163,0.4418,0.031
PSO Fusion,0.4613,0.0153,0.4712,0.0202,0.4614,0.0162,0.4421,0.0309
