fold,accuracy,f1_weighted,train_size,test_size,test_subjects
1,0.27579963789981893,0.1679007378696515,59652,14913,"[5, 10, 15]"
2,0.28076175149198684,0.15342836398314272,59652,14913,"[4, 9, 14]"
3,0.27861597264131965,0.17275867525833286,59652,14913,"[3, 8, 13]"
4,0.2772078052705693,0.1566037111059526,59652,14913,"[2, 7, 12]"
5,0.2844498088915711,0.16531464580802108,59652,14913,"[1, 6, 11]"
